dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,notificationUE,field,value,message,lineRejected
2024-06-26,Délibération CP du 31/05/2024,34200706900020.0,Association Arts Vivants 11,une aide au fonctionnement,137000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-02,Deliberation CP du 28-04-2023,78281567400042.0,La Délégation Languedoc-Roussillon Léo Lagrange Méditerranée,"Subvention de fonction 2023 - ""permanences surendettement""",74200.0,en numéraire,échelonné,2023-06-02_2023-10-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-08-06,Délibération CP du 31/05/2024,32315845100019.0,Association pour le développement et l'action culturels de Foix et de l'Ariège (ADACFA),"une aide au projet ""Pierre de Gué""",7000.0,en numéraire,unique,2024-08-06_2024-08-06,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-26,Délibération CP du 31/05/2024,35338402700036.0,Association Groupe de recherche et d'animation photographique,Mise à disposition de locaux,14000.0,en nature,autre,2024-01-01_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,une aide à la médiation en Itinérance rurale,4000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,34200706900020.0,Association Arts Vivants 11,une aide au fonctionnement,156000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-19,Délibération CP du 31/05/2024,38773659800021.0,"Association "" Montolieu Village du Livre et des Arts""",Aide à la programmation au titre l'année 2024,32000.0,en numéraire,unique,2024-07-01_2024-07-01,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-26,Délibération CP du 31/05/2024,34200706900020.0,Association Arts Vivants 11,Prise en charge de loyer des locaux,21000.0,en nature,autre,2024-01-01_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-18,Délibération CP du 31/05/2024,43312253800013.0,Association Centre Joë Bousquet et son Temps,Mise à disposition de locaux,15000.0,en nature,autre,2024-01-01_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,34200706900020.0,Association Arts Vivants 11,une aide pour les actions spécifiques,95000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-09,Délibération CP du 31/05/2024,8612023500113.0,SAFER Occitanie,Subvention de fonction 2024,30200.0,en numéraire,échelonné,2024-07-29_2025-03-31,non,idBeneficiaire,8612023500113.0,SIRET du bénéficiaire manquant ou invalide,oui
2024-07-09,Délibération CP du 31/05/2024,8612023500113.0,SAFER Occitanie,Subvention de fonction 2024,30200.0,en numéraire,échelonné,2024-07-29_2025-03-31,non,,,SIRET de l'allocataire manquant ou invalide,oui
2024-06-18,Délibération CP du 31/05/2024,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,une aide à la réalisation du programme culturel 2024,23000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,77555566700010.0,FAOL,une aide aux actions culturelles,8000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,34200706900020.0,Association Arts Vivants 11,prise en charge par le Département du loyer des locaux à usage de bureau,21000.0,en nature,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-05-27,Délibération CP du 31/05/2024,19110665700015.0,Collège Varsovie,Subvention Classe relais,66012.0,en numéraire,unique,2024-06-10_2024-06-10,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,"une aide à l'action ""Une place pour chacun·e""",1500.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-08,Délibération CP du 31/05/2024,40296541200016.0,Association La Claranda,une aide à la saison culturelle 2024,14500.0,en numéraire,unique,2024-07-10_2024-07-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-15,Deliberation CP du 26-05-2023,30185924500062.0,COOPERATION AGRICOLE OCCITANIE,Promotion des produits audois,25000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-09-30,Délibération CP du 27/09/2024,77581843800068.0,FRMJC,Projet à destination des jeunes,34000.0,en numéraire,unique,2024-09-20_2024-12-10,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-18,Délibération CP du 31/05/2024,43312253800013.0,Association Centre Joë Bousquet et son Temps,"une aide aux projets ""Les blessures créatrices"", ""Lire"" et ""Actions envers la jeunesse""",40000.0,en numéraire,unique,2024-07-23_2024-07-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-09-30,Délibération CP du 28/06/2024,77578419200046.0,Francas de l'Aude,Subvention dans le domaine de la jeunesse : appui aux activités de l'association,22000.0,en numéraire,échelonné,2024-05-10_2024-12-10,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-30,Deliberation CP du 30-06-2023,45002885700016.0,Club Narbonne Volley,Subvention de fonctionnement complémentaire pour la saison 2022-2023,5000.0,en numéraire,unique,2023-06-30_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,33947067600034.0,Association theatre populaire,College au theatre,15000.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-08,Délibération CP du 31/05/2024,40296541200016.0,Association La Claranda,une aide à l’initiation à la culture musicale brésilienne,1000.0,en numéraire,unique,2024-07-10_2024-07-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-24,Délibération CP du 19/07/2024,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Fonctionnement du RIAC,37759.02,en numéraire,unique,2024-08-30_2024-08-30,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-08-18,Deliberation CP du 30-06-2023,18110004100027.0,Chambre Agriculture,Convention de partenariat,273413.0,en numéraire,échelonné,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,35338402700036.0,GRAPH,Olympiades cultures dans les colleges,10000.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-08,Délibération CP du 31/05/2024,40296541200016.0,Association La Claranda,"une aide à l’organisation du festival ""Musique du monde Ligat""",3000.0,en numéraire,unique,2024-07-10_2024-07-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-11-06,Délibération CP du 27/09/2024,49358290200034.0,Banque Alimentaire de l'Aude,Subvention de fonction 2024,42000.0,en numéraire,unique,2024-11-08_2024-11-08,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-10,Deliberation CP du 30-06-2023,49258320800060.0,LPO Aude,Convention plurianuelle d'objectifs 2023-2026,41737.5,en numéraire,échelonné,2023-10-01_2024-04-01,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,45074466900042.0,Musical' Sol,Scene d'enfance 2025,11290.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-06,Délibération CP du 31/05/2024,38464393800051.0,GEE AUDE,EEDD,48000.0,en numéraire,échelonné,2024-06-06_2025-11-26,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-11-07,Délibération CP du 27/09/2024,40066042900046.0,Les Restaurants du Cœur de l'Aude,Subvention de fonction 2024,39000.0,en numéraire,unique,2024-11-26_2024-11-26,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-27,Deliberation CP du 27-10-2023,90040594500024.0,S.A.S.S.P. du Racing Club Narbonne,Subvention de fonctionnement pour la saison 2023-2024,23000.0,en numéraire,unique,2023-10-27_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-02,Deliberation CP du 28-04-2023,41224378400011.0,Association Ciném'Aude,une aide pour la diffusion d'oeuvres cinématographiques,80000.0,en numéraire,unique,2023-05-10_2023-05-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-02-06,Délibération CP du 26/01/2024,50405519500029.0,Comité des œuvres sociales,Fonctionnement,1883828.77,en numéraire,échelonné,2024-02-12_2024-04-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-09-27,Délibération CP du 31/05/2024,30674280000031.0,Association amicale laiquede carcassonne,Action culturelle,3500.0,en numéraire,unique,2025-01-17_2025-01-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-02,Délibération CP du 29/11/2024,52395483200029.0,SASP de l'Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2024-2025,23000.0,en numéraire,unique,2024-12-02_2024-12-12,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-27,Deliberation CP du 27-10-2023,45002885700016.0,Club Narbonne Volley,Subvention de fonctionnement pour la saison 2023-2024,35000.0,en numéraire,unique,2023-10-27_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide au fonctionnement,50000.0,en numéraire,unique,2023-05-31_2023-05-31,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-05-12,Deliberation CP du 28-04-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide au fonctionnement,50000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,oui
2024-04-16,Délibération CP du 29/03/2024,41224378400011.0,Association Ciném'Aude,"une aide dans le cadre de la coordination d'ateliers ""Collège au cinéma""",6000.0,en numéraire,unique,2024-04-16_2024-04-16,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-28,Délibération CP du 28/06/2024,37826881700020.0,association Amicale du Personnel Département de l'Aude,Subvention de fonction 2024,10000.0,en numéraire,unique,2024-07-23_2025-07-23,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-02,Délibération CP du 29/11/2024,90040594500024.0,S.A.S.S.P. du Racing Club Narbonne,Subvention de fonctionnement pour la saison 2024-2025,23000.0,en numéraire,unique,2024-12-02_2024-12-12,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-20,Deliberation CP du 27-10-2023,20004692800012.0,Abattoir de Quillan,Subvention de fonction 2023,25000.0,en numéraire,unique,2023-11-28_2023-11-28,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,43312253800013.0,Association Centre Joë Bousquet et son Temps,une aide pour des ateliers de lecture et de création autour du livre et des arts,55000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-29,Délibération CP du 26/04/24,92376998800018.0,Institut écocitoyen en santé environnementale de l'Aude,Subvention de fonctionnement 2024,40000.0,en numéraire,unique,2024-07-23_2024-07-23,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-01,Délibération CP du 28/06/2024,44304157900014.0,ECODIV,Programme Zones humides Montagne Noire,25906.4,en numéraire,échelonné,2024-06-28_2025-11-26,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,32555823700021.0,GARAE,Soutien organisation d'action,10000.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-31,Deliberation CP du 27-10-2023,88289498300023.0,Coopérative de transition écologique HVA,Actions d'éducation à l'Environnement et au Développement Durable,5000.0,en numéraire,unique,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-02,Deliberation CP du 28-04-2023,45074466900042.0,Association Music Al Sol,"une aide dans le cadre de la CGEAC pour la ""Fabrique à Chanson 2023-2024""",2000.0,en numéraire,unique,2023-06-16_2023-06-16,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-26,Délibération CP du 26/04/2024,38464393800051.0,CEN Occitanie,Convention de coopération et d'objectifs,90000.0,en numéraire,échelonné,2024-04-26_2025-11-26,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-24,Délibération CP du 19/07/2024,30200478300015.0,Association du Restaurant inter-administratif de Carcassonne,Fonctionnement du RIAC,58134.57,en numéraire,unique,2024-08-30_2024-08-30,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,92937193800010.0,Scene nationale grand Narbonne,le projet MECS,5000.0,en numéraire,unique,2024-12-12_2024-12-12,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-24,Deliberation CP du 24-11-2023,52395483200029.0,SASP de l'Union Sportive Carcassonnaise,Subvention de fonctionnement pour la saison 2023-2024,23000.0,en numéraire,unique,2023-11-24_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-11,Deliberation CP du 28-04-2023,39301786800059.0,Fédération Aude Claire,Subvention CPO Fédération Aude Claire,277000.0,en numéraire,échelonné,2023-10-01_2024-04-01,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,33947067600034.0,Association Théâtre Populaire,une aide à la saison culturelle,30000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-02,Délibération CP du 29/11/2024,38745232900015.0,Association Racing Club Narbonne,Subvention de fonctionnement pour la saison 2024-2025,82500.0,en numéraire,unique,2024-12-02_2024-12-12,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-02,Deliberation CP du 28-04-2023,41224378400011.0,Association Ciném'Aude,"une aide pour la coordination du dispositif ""Collège Au Cinéma""",6000.0,en numéraire,unique,2023-05-03_2023-05-03,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-04,Délibération CP du 24-11-2023,48080389900065.0,Association 11 Bouge,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,5000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-10-23,Deliberation CP du 30-06-2023,38464393800051.0,CEN Occitanie,Convention de coopération et d'objectifs,147222.0,en numéraire,échelonné,2023-10-01_2024-04-01,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,33947067600034.0,Association Théâtre Populaire,une aide dans le cadre de la CGEAC,1500.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,35108335700068.0,Theatre dans les vignes,Scene d'enfance 2025,11000.0,en numéraire,unique,2024-12-09_2024-12-09,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-15,Deliberation CP du 28-04-2023,48080389900065.0,Association 11 Bouge,une aide à la saison culturelle,30000.0,en numéraire,unique,2023-05-17_2023-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-11-28,Délibération CP du 24-11-2023,33947067600034.0,Association Théâtre Populaire,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-04,Délibération CP du 24-11-2023,48080389900065.0,Association 11 Bouge,"une aide dans le cadre de la manifestation ""Scènes d'enfance 2024""",360.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-26,Délibération CP du 31/05/2024,34200706900020.0,Association Arts Vivants 11,une aide pour les actions spécifiques,95000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-04-28,Deliberation CP du 28-04-2023,77555567500252.0,ADPEP de l'Aude _ dispositif Maison des Adolescents,Subvention pour fonctionnement 2023,70000.0,en numéraire,échelonné,2023-06-06_2023-06-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,35338402700036.0,Association Groupe de recherche et d'animation photographique,mise à disposition gratuite des locaux à la Maison des Mémoires par le Département,14000.0,en nature,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre du dispositif ""Collèges au théâtre"" 2023/2024",40000.0,en numéraire,échelonné,2023-12-07_2024-01-31,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre du dispositif ""Collèges au théâtre"" 2023/2024",40000.0,en numéraire,échelonné,2023-12-07_2024-01-31,non,,,SIRET de l'allocataire manquant ou invalide,oui
2013-12-01,Délibération CP du 24-11-2023,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,5000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-26,Délibération CP du 31/05/2024,34200706900020.0,Association Arts Vivants 11,"une aide à l'action ""Chant choral"" en milieu scolaire",1500.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-04-28,Deliberation CP du 28-04-2023,38965363500026.0,Association Farandole,Subvention pour fonctionnement 2023 + subvention dans le cadre du REAAP 2023,41800.0,en numéraire,échelonné,2023-06-06_2023-06-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,35108335700068.0,Association Le théâtre dans les vignes,une aide à la saison et à la programmation culturelle 2023,27000.0,en numéraire,unique,2023-05-31_2023-05-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre de la manifestation ""Scènes d'enfance 2024""",11760.0,en numéraire,unique,2023-12-07_2023-12-07,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,"une aide dans le cadre de la manifestation ""Scènes d'enfance 2024""",11760.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,oui
2022-05-18,Deliberation CP du 29-04-22,38054493200029.0,"Théâtre cinéma, scène nationale du Grand Narbonne",Réalisation de la dernière phase Collège au Théâtre,100000.0,en numéraire,unique,2022-05-24_2022-05-24,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,48080389900065.0,Association 11 Bouge,une aide à la saison musiques actuelles,25000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-15,Deliberation CP du 28-04-2023,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,"une aide à la réalisation de l'exposition ""Emb(ART)belés""",2000.0,en numéraire,unique,2023-05-17_2023-05-17,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-04-28,Deliberation CP du 28-04-2023,87870809800016.0,AMPM,Convention de mutualisation de services et d'équipements,430000.0,en numéraire,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2023-12-01,Délibération CP du 24-11-2023,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,oui
2022-05-18,Deliberation CP du 29-04-22,35108335700068.0,Théâtre dans les vignes,mise en œuvre du projet artistique du Théâtre dans les vignes,28000.0,en numéraire,unique,2022-05-24_2022-05-24,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,32555823700021.0,Association Groupe audois de recherche et d'animation ethnographique,Mise à disposition de locaux,32000.0,en nature,autre,2024-01-01_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-12,Deliberation CP du 28-04-2023,43312253800013.0,Association Centre Joë Bousquet et son Temps,mise à disposition gratuite des locaux à la Maison des Mémoires par le Département,15000.0,en nature,autre,2023-01-01_2023-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-05-02,Deliberation CP du 28-04-2023,77581843800068.0,FRMJC,Projet à destination des jeunes,34000.0,en numéraire,unique,2023-05-02_2023-12-07,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-12-05,Délibération CP du 24-11-2023,35338402700036.0,Association Groupe de recherche et d'animation photographique,une aide dans le cadre d'actions complémentaires pour la saison 2023-2024,10000.0,en numéraire,unique,2023-12-07_2023-12-07,non,,,SIRET de l'allocataire manquant ou invalide,non
2022-05-25,Deliberation CP du 29-04-22,38773659800020.0,Association Montolieu Village du livre,Réalisation de la Fabrique à livre,34000.0,en numéraire,échelonné,2022-05-31_2022-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
